3|3
3|1
53|1
1|2
13|1
2|2
2|1
1|2
14|1
14|1
8|1
10|1
2|2
1|1
1|1
6|1
8|2
17|1
418|1
19|3
56|1
2|1
2|1
2|3
6|1
3|2
4|2
2|1
26|1
161|1
1|1
13|1
4|1
5|1
3|1
2|1
44|2
26|1
53|1
1|1
17|1
3|2
6|1
1|1
183|1
8|1
71|1
26|1
172|1
6|1
10|1
2|1
5|1
11|2
1|2
7|1
28|2
17|1
1|1
5|2
131|1
57|1
8|1
17|1
17|1
34|1
21|2
138|2
10|1
49|1
1|1
13|1
2|1
6|1
1|1
1|1
25|1
7|3
172|1
82|2
62|1
312|1
236|1
8|1
31|1
18|1
22|1
5|1
112|1
17|4
36|1
8|1
70|3
7|1
29|3
199|1
97|1
7|1
133|1
37|1
8|1
10|1
8|1
12|1
37|1
4|1
38|1
1|1
6|1
108|1
1|1
139|1
37|2
5|1
170|2
80|2
5|1
10|1
1|1
1|1
203|3
10|1
18|1
7|2
30|1
21|3
2|1
14|2
3|1
181|1
10|1
5|1
3|1
50|1
6|2
11|1
5|1
1|1
12|1
5|1
114|1
60|1
18|1
9|1
13|2
11|1
8|1
54|1
4|1
2|1
111|1
65|1
38|1
33|1
18|1
21|1
198|1
5|1
10|1
39|1
20|1
202|1
5|1
11|2
5|1
19|1
33|1
18|1
239|1
1|1
13|1
26|1
7|1
8|1
1|2
2|1
5|1
145|1
1|1
5|1
51|1
19|1
1|1
6|1
73|1
198|1
1|1
17|1
41|1
17|1
241|1
255|1
1|1
18|2
6|1
10|1
8|1
71|1
1|1
12|1
165|1
6|1
33|2
19|1
20|1
3|1
10|1
3|2
7|1
146|1
39|1
40|1
38|1
21|1
26|1
179|1
33|1
8|1
28|1
20|1
6|1
14|1
2|2
2|2
168|1
20|2
16|1
1|1
3|1
2|2
53|1
19|1
11|1
186|1
19|1
3|1
33|1
1|1
3|1
2|1
34|1
138|1
4|2
38|1
10|1
1|1
1|1
2|1
1|1
6|1
45|2
1|1
3|2
9|1
2|1
3|4
5|2
2|1
10|1
409|1
2|1
65|1
10|2
20|1
56|1
1|1
9|1
1|1
14|1
4|1
125|1
4|1
34|1
8|1
12|1
5|1
11|1
8|1
213|1
39|1
18|1
3|2
13|2
3|2
8|1
24|2
5|1
37|1
2|2
110|2
4|1
14|4
2|2
1|1
28|1
8|1
10|3
3|3
2|1
6|1
1|1
3|1
3|3
4|2
52|2
129|1
2|1
17|3
12|1
46|3
3|1
10|2
5|3
110|1
139|1
8|1
19|1
270|1
27|1
54|1
1|1
239|1
16|1
2|1
35|1
1|2
238|1
276|1
8|1
79|1
13|2
217|1
3|2
1|1
10|6
1|3
110|1
448|1
12|1
17|1
6|2
33|2
40|1
199|2
16|1
4|1
72|1
3|1
3|1
114|1
156|1
8|1
13|2
182|1
14|1
1|1
18|1
76|1
121|1
19|1
1|1
75|1
64|1
243|1
73|1
138|1
61|1
17|1
1|1
255|1
132|1
175|1
12|2
20|1
255|1
7|1
11|1
1|1
9|1
10|1
1|1
14|1
8|1
10|1
1|2
39|1
1|1
195|3
2|1
15|1
46|2
10|2
197|1
1|1
6|1
13|1
18|1
6|1
32|1
3|1
15|1
26|2
177|1
1|1
9|1
1|1
1|1
17|2
9|1
26|1
21|3
8|1
289|1
221|1
3|1
50|1
22|1
217|1
1|1
2|2
18|1
33|1
1|1
39|1
200|1
1|1
17|1
3|1
2|1
2|1
30|2
20|1
156|1
59|1
1|1
17|2
4|2
2|1
53|3
1|1
9|2
178|1
18|1
8|1
13|1
1|2
38|1
3|1
152|1
1|1
84|1
73|1
16|1
1|3
8|1
110|1
15|1
48|1
30|1
79|1
8|1
191|1
7|2
19|1
49|2
5|1
2|1
11|2
178|1
4|1
1|1
13|1
2|2
1|1
4|1
5|1
1|1
